From	To	Species	Gene Name\
ENSG00000170899	2941	Homo sapiens	glutathione S-transferase alpha 4(GSTA4)\
ENSG00000168589	83657	Homo sapiens	dynein light chain roadblock-type 2(DYNLRB2)\
ENSG00000167258	51755	Homo sapiens	cyclin dependent kinase 12(CDK12)\
ENSG00000253633	107986898	Homo sapiens	uncharacterized LOC107986898(LOC107986898)\
ENSG00000167257	257160	Homo sapiens	ring finger protein 214(RNF214)\
ENSG00000182870	50614	Homo sapiens	polypeptide N-acetylgalactosaminyltransferase 9(GALNT9)\
ENSG00000182871	80781	Homo sapiens	collagen type XVIII alpha 1 chain(COL18A1)\
ENSG00000182872	8241	Homo sapiens	RNA binding motif protein 10(RBM10)\
ENSG00000180219	196472	Homo sapiens	family with sequence similarity 71 member C(FAM71C)\
ENSG00000182899	6165	Homo sapiens	ribosomal protein L35a(RPL35A)\
ENSG00000240344	53938	Homo sapiens	peptidylprolyl isomerase like 3(PPIL3)\
ENSG00000180233	223082	Homo sapiens	zinc and ring finger 2(ZNRF2)\
ENSG00000179242	1002	Homo sapiens	cadherin 4(CDH4)\
ENSG00000181562	10876	Homo sapiens	epididymal protein 3A(EDDM3A)\
ENSG00000012817	8284	Homo sapiens	lysine demethylase 5D(KDM5D)\
ENSG00000167261	64174	Homo sapiens	dipeptidase 2(DPEP2)\
ENSG00000168591	79089	Homo sapiens	transmembrane and ubiquitin like domain containing 2(TMUB2)\
ENSG00000254999	55845	Homo sapiens	BRICK1, SCAR/WAVE actin nucleating complex subunit(BRK1)\
ENSG00000254997	3846	Homo sapiens	keratin associated protein 5-9(KRTAP5-9)\
ENSG00000012822	57658	Homo sapiens	calcium binding and coiled-coil domain 1(CALCOCO1)\
ENSG00000254996	404734	Homo sapiens	ANKHD1-EIF4EBP3 readthrough(ANKHD1-EIF4EBP3)\
ENSG00000168594	11086	Homo sapiens	ADAM metallopeptidase domain 29(ADAM29)\
ENSG00000167264	54920	Homo sapiens	dihydrouridine synthase 2(DUS2)\
ENSG00000179241	143458	Homo sapiens	low density lipoprotein receptor class A domain containing 3(LDLRAD3)\
ENSG00000179240	100506127	Homo sapiens	putative uncharacterized protein FLJ37770-like(LOC100506127)\
ENSG00000254995	100534593	Homo sapiens	STX16-NPEPL1 readthrough (NMD candidate)(STX16-NPEPL1)\
ENSG00000180228	8575	Homo sapiens	protein activator of interferon induced protein kinase EIF2AK2(PRKRA)\
ENSG00000214097	255798	Homo sapiens	single-pass membrane protein with coiled-coil domains 1(SMCO1)\
ENSG00000266967	80755	Homo sapiens	alanyl-tRNA synthetase domain containing 1(AARSD1)\
ENSG00000181577	221416	Homo sapiens	chromosome 6 open reading frame 223(C6orf223)\
ENSG00000266964	5348	Homo sapiens	FXYD domain containing ion transport regulator 1(FXYD1)\
ENSG00000180245	10692	Homo sapiens	retinal pigment epithelium-derived rhodopsin homolog(RRH)\
ENSG00000179256	440087	Homo sapiens	single-pass membrane protein with coiled-coil domains 3(SMCO3)\
ENSG00000167272	51367	Homo sapiens	POP5 homolog, ribonuclease P/MRP subunit(POP5)\
ENSG00000241685	10552	Homo sapiens	actin related protein 2/3 complex subunit 1A(ARPC1A)\
ENSG00000254986	10072	Homo sapiens	dipeptidyl peptidase 3(DPP3)\
ENSG00000182890	2747	Homo sapiens	glutamate dehydrogenase 2(GLUD2)\
ENSG00000182896	339168	Homo sapiens	transmembrane protein 95(TMEM95)\
ENSG00000214087	339231	Homo sapiens	ADP ribosylation factor like GTPase 16(ARL16)\
ENSG00000182898	126637	Homo sapiens	trichohyalin like 1(TCHHL1)\
ENSG00000180376	285331	Homo sapiens	coiled-coil domain containing 66(CCDC66)\
ENSG00000216895	100506302	Homo sapiens	uncharacterized LOC100506302(LOC100506302)\
ENSG00000178055	339906	Homo sapiens	protease, serine 42(PRSS42)\
ENSG00000241852	541565	Homo sapiens	chromosome 8 open reading frame 58(C8orf58)\
ENSG00000179388	1960	Homo sapiens	early growth response 3(EGR3)\
ENSG00000178057	25915	Homo sapiens	NADH:ubiquinone oxidoreductase complex assembly factor 3(NDUFAF3)\
ENSG00000179387	255520	Homo sapiens	ELMO domain containing 2(ELMOD2)\
ENSG00000215568	128954	Homo sapiens	GRB2 associated binding protein family member 4(GAB4)\
ENSG00000180370	5062	Homo sapiens	p21 (RAC1) activated kinase 2(PAK2)\
ENSG00000166073	11245	Homo sapiens	G protein-coupled receptor 176(GPR176)\
ENSG00000227551	100287205	Homo sapiens	ubiquitin specific peptidase 17-like family member 12(USP17L12)\
ENSG00000253846	56106	Homo sapiens	protocadherin gamma subfamily A, 10(PCDHGA10)\
ENSG00000265817	100861412	Homo sapiens	fibrinogen silencer binding protein(FSBP)\
ENSG00000178053	4291	Homo sapiens	myeloid leukemia factor 1(MLF1)\
ENSG00000154080	83539	Homo sapiens	carbohydrate sulfotransferase 9(CHST9)\
ENSG00000180389	432369	Homo sapiens	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit pseudogene 2(ATP5EP2)\
ENSG00000154079	135154	Homo sapiens	succinate dehydrogenase complex assembly factor 4(SDHAF4)\
ENSG00000180386	100505724	Homo sapiens	keratin associated protein 9-7(KRTAP9-7)\
ENSG00000179397	257044	Homo sapiens	chromosome 1 open reading frame 101(C1orf101)\
ENSG00000179399	2262	Homo sapiens	glypican 5(GPC5)\
ENSG00000214226	339210	Homo sapiens	chromosome 17 open reading frame 67(C17orf67)\
ENSG00000180383	245937	Homo sapiens	defensin beta 124(DEFB124)\
ENSG00000011523	23177	Homo sapiens	centrosomal protein 68(CEP68)\
ENSG00000253831	440695	Homo sapiens	ETS variant 3 like(ETV3L)\
ENSG00000166086	83700	Homo sapiens	junctional adhesion molecule 3(JAM3)\
ENSG00000215545	245930	Homo sapiens	defensin beta 116(DEFB116)\
ENSG00000241878	102465666	Homo sapiens	microRNA 7109(MIR7109)\
ENSG00000238227	90120	Homo sapiens	chromosome 9 open reading frame 69(C9orf69)\
ENSG00000214212	255809	Homo sapiens	chromosome 19 open reading frame 38(C19orf38)\
ENSG00000240542	728318	Homo sapiens	keratin associated protein 9-1(KRTAP9-1)\
ENSG00000180398	90411	Homo sapiens	multiple coagulation factor deficiency 2(MCFD2)\
ENSG00000154065	147463	Homo sapiens	ankyrin repeat domain 29(ANKRD29)\
ENSG00000215547	245929	Homo sapiens	defensin beta 115(DEFB115)\
ENSG00000178078	55620	Homo sapiens	signal transducing adaptor family member 2(STAP2)\
ENSG00000214216	654502	Homo sapiens	IQ motif containing J(IQCJ)\
ENSG00000214215	338809	Homo sapiens	chromosome 12 open reading frame 74(C12orf74)\
ENSG00000142082	23410	Homo sapiens	sirtuin 3(SIRT3)\
ENSG00000023516	11215	Homo sapiens	A-kinase anchoring protein 11(AKAP11)\
ENSG00000166090	64806	Homo sapiens	interleukin 25(IL25)\
ENSG00000166091	116173	Homo sapiens	CKLF like MARVEL transmembrane domain containing 5(CMTM5)\
ENSG00000204899	440145	Homo sapiens	mitotic spindle organizing protein 1(MZT1)\
ENSG00000142089	10410	Homo sapiens	interferon induced transmembrane protein 3(IFITM3)\
ENSG00000251201	100302736	Homo sapiens	TMED7-TICAM2 readthrough(TMED7-TICAM2)\
ENSG00000204897	147183	Homo sapiens	keratin 25(KRT25)\
ENSG00000155393	55027	Homo sapiens	HEAT repeat containing 3(HEATR3)\
ENSG00000178074	205327	Homo sapiens	chromosome 2 open reading frame 69(C2orf69)\
ENSG00000178075	54762	Homo sapiens	GRAM domain containing 1C(GRAMD1C)\
ENSG00000154059	55364	Homo sapiens	impact RWD domain protein(IMPACT)\
ENSG00000204880	728224	Homo sapiens	keratin associated protein 4-8(KRTAP4-8)\
ENSG00000204882	2843	Homo sapiens	G protein-coupled receptor 20(GPR20)\
ENSG00000204887	728255	Homo sapiens	keratin associated protein 1-4(KRTAP1-4)\
ENSG00000204889	125115	Homo sapiens	keratin 40(KRT40)\
ENSG00000253857	105375844	Homo sapiens	uncharacterized LOC105375844(LOC105375844)\
ENSG00000036828	846	Homo sapiens	calcium sensing receptor(CASR)\
ENSG00000178084	170572	Homo sapiens	5-hydroxytryptamine receptor 3C(HTR3C)\
ENSG00000010219	8798	Homo sapiens	dual specificity tyrosine phosphorylation regulated kinase 4(DYRK4)\
ENSG00000155380	6566	Homo sapiens	solute carrier family 16 member 1(SLC16A1)\
ENSG00000178081	89837	Homo sapiens	ULK4 pseudogene 3(ULK4P3)\
ENSG00000214279	619207	Homo sapiens	scavenger receptor protein family member(SCART1)\
ENSG00000024862	25901	Homo sapiens	coiled-coil domain containing 28A(CCDC28A)\
ENSG00000143390	5993	Homo sapiens	regulatory factor X5(RFX5)\
ENSG00000129083	1315	Homo sapiens	coatomer protein complex subunit beta 1(COPB1)\
ENSG00000129084	5682	Homo sapiens	proteasome subunit alpha 1(PSMA1)\
ENSG00000142065	57677	Homo sapiens	ZFP14 zinc finger protein(ZFP14)\
ENSG00000143393	5298	Homo sapiens	phosphatidylinositol 4-kinase beta(PI4KB)\
ENSG00000154040	26256	Homo sapiens	calcium binding tyrosine phosphorylation regulated(CABYR)\
ENSG00000178096	51027	Homo sapiens	bolA family member 1(BOLA1)\
ENSG00000117091	962	Homo sapiens	CD48 molecule(CD48)\
ENSG00000117090	6504	Homo sapiens	signaling lymphocytic activation molecule family member 1(SLAMF1)\
ENSG00000143398	8394	Homo sapiens	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha(PIP5K1A)\
ENSG00000214274	283	Homo sapiens	angiogenin(ANG)\
ENSG00000178093	83983	Homo sapiens	testis specific serine kinase 6(TSSK6)\
ENSG00000155368	1622	Homo sapiens	diazepam binding inhibitor, acyl-CoA binding protein(DBI)\
ENSG00000155367	333926	Homo sapiens	protein phosphatase, Mg2+/Mn2+ dependent 1J(PPM1J)\
ENSG00000155366	389	Homo sapiens	ras homolog family member C(RHOC)\
ENSG00000156697	10813	Homo sapiens	UTP14A small subunit processome component(UTP14A)\
ENSG00000155363	4343	Homo sapiens	Mov10 RISC complex RNA helicase(MOV10)\
ENSG00000048828	23196	Homo sapiens	family with sequence similarity 120A(FAM120A)\
ENSG00000011566	8491	Homo sapiens	mitogen-activated protein kinase kinase kinase kinase 3(MAP4K3)\
ENSG00000228856	728419	Homo sapiens	ubiquitin specific peptidase 17-like family member 30(USP17L30)\
ENSG00000143382	54507	Homo sapiens	ADAMTS like 4(ADAMTSL4)\
ENSG00000143384	4170	Homo sapiens	BCL2 family apoptosis regulator(MCL1)\
ENSG00000214265	8926	Homo sapiens	SNRPN upstream reading frame(SNURF)\
ENSG00000143387	1513	Homo sapiens	cathepsin K(CTSK)\
ENSG00000215595	400831	Homo sapiens	chromosome 20 open reading frame 202(C20orf202)\
ENSG00000214262	84832	Homo sapiens	ankyrin repeat domain 36B pseudogene 1(ANKRD36BP1)\
ENSG00000154025	125206	Homo sapiens	solute carrier family 5 member 10(SLC5A10)\
ENSG00000131389	6533	Homo sapiens	solute carrier family 6 member 6(SLC6A6)\
ENSG00000156687	137970	Homo sapiens	unc-5 netrin receptor D(UNC5D)\
ENSG00000239511	102724728	Homo sapiens	POM121 transmembrane nucleoporin pseudogene(LOC102724728)\
ENSG00000240505	23495	Homo sapiens	TNF receptor superfamily member 13B(TNFRSF13B)\
ENSG00000253819	104266958	Homo sapiens	long intergenic non-protein coding RNA 1151(LINC01151)\
ENSG00000131381	64145	Homo sapiens	rabenosyn, RAB effector(RBSN)\
ENSG00000130052	9754	Homo sapiens	StAR related lipid transfer domain containing 8(STARD8)\
ENSG00000131386	117248	Homo sapiens	polypeptide N-acetylgalactosaminyltransferase 15(GALNT15)\
ENSG00000130054	27112	Homo sapiens	family with sequence similarity 155 member B(FAM155B)\
ENSG00000130055	54857	Homo sapiens	glycerophosphodiester phosphodiesterase domain containing 2(GDPD2)\
ENSG00000154027	26289	Homo sapiens	adenylate kinase 5(AK5)\
ENSG00000156689	219970	Homo sapiens	glycine-N-acyltransferase like 2(GLYATL2)\
ENSG00000143379	9869	Homo sapiens	SET domain bifurcated 1(SETDB1)\
ENSG00000010244	693217	Homo sapiens	microRNA 632(MIR632)\
ENSG00000142046	641649	Homo sapiens	transmembrane protein 91(TMEM91)\
ENSG00000143373	57592	Homo sapiens	zinc finger protein 687(ZNF687)\
ENSG00000143374	102465529	Homo sapiens	microRNA 6878(MIR6878)\
ENSG00000143375	57530	Homo sapiens	cingulin(CGN)\
ENSG00000143376	81609	Homo sapiens	sorting nexin family member 27(SNX27)\
ENSG00000214253	51024	Homo sapiens	fission, mitochondrial 1(FIS1)\
ENSG00000156675	80223	Homo sapiens	RAB11 family interacting protein 1(RAB11FIP1)\
ENSG00000156671	142891	Homo sapiens	sterile alpha motif domain containing 8(SAMD8)\
ENSG00000129071	8930	Homo sapiens	methyl-CpG binding domain 4, DNA glycosylase(MBD4)\
ENSG00000130066	6303	Homo sapiens	spermidine/spermine N1-acetyltransferase 1(SAT1)\
ENSG00000154016	10750	Homo sapiens	GRB2-related adaptor protein(GRAP)\
ENSG00000131398	3748	Homo sapiens	potassium voltage-gated channel subfamily C member 3(KCNC3)\
ENSG00000010256	7384	Homo sapiens	ubiquinol-cytochrome c reductase core protein I(UQCRC1)\
ENSG00000143368	10262	Homo sapiens	splicing factor 3b subunit 4(SF3B4)\
ENSG00000143369	1893	Homo sapiens	extracellular matrix protein 1(ECM1)\
ENSG00000143363	58497	Homo sapiens	prune exopolyphosphatase(PRUNE1)\
ENSG00000241837	539	Homo sapiens	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit(ATP5O)\
ENSG00000143365	6097	Homo sapiens	RAR related orphan receptor C(RORC)\
ENSG00000142039	90324	Homo sapiens	coiled-coil domain containing 97(CCDC97)\
ENSG00000241839	80301	Homo sapiens	pleckstrin homology domain containing O2(PLEKHO2)\
ENSG00000239521	352954	Homo sapiens	GATS, stromal antigen 3 opposite strand(GATS)\
ENSG00000143367	7286	Homo sapiens	tuftelin 1(TUFT1)\
ENSG00000131368	64432	Homo sapiens	mitochondrial ribosomal protein S25(MRPS25)\
ENSG00000130037	3741	Homo sapiens	potassium voltage-gated channel subfamily A member 5(KCNA5)\
ENSG00000157999	100310846	Homo sapiens	ankyrin repeat domain 61(ANKRD61)\
ENSG00000129048	51554	Homo sapiens	atypical chemokine receptor 4(ACKR4)\
ENSG00000132698	57111	Homo sapiens	RAB25, member RAS oncogene family(RAB25)\
ENSG00000154001	5529	Homo sapiens	protein phosphatase 2 regulatory subunit B'epsilon(PPP2R5E)\
ENSG00000130038	84766	Homo sapiens	calcium release activated channel regulator 2A(CRACR2A)\
ENSG00000072501	8243	Homo sapiens	structural maintenance of chromosomes 1A(SMC1A)\
ENSG00000023572	51022	Homo sapiens	glutaredoxin 2(GLRX2)\
ENSG00000155330	388272	Homo sapiens	chromosome 16 open reading frame 87(C16orf87)\
ENSG00000011590	27033	Homo sapiens	zinc finger and BTB domain containing 32(ZBTB32)\
ENSG00000132693	1401	Homo sapiens	C-reactive protein(CRP)\
ENSG00000157992	200634	Homo sapiens	keratinocyte associated protein 3(KRTCAP3)\
ENSG00000132692	63827	Homo sapiens	brevican(BCAN)\
ENSG00000130032	79057	Homo sapiens	proline rich and Gla domain 3(PRRG3)\
ENSG00000154007	127247	Homo sapiens	ankyrin repeat and SOCS box containing 17(ASB17)\
ENSG00000132694	9826	Homo sapiens	Rho guanine nucleotide exchange factor 11(ARHGEF11)\
ENSG00000130035	26290	Homo sapiens	polypeptide N-acetylgalactosaminyltransferase 8(GALNT8)\
ENSG00000142025	63946	Homo sapiens	DMRT like family C2(DMRTC2)\
ENSG00000117054	34	Homo sapiens	acyl-CoA dehydrogenase, C-4 to C-12 straight chain(ACADM)\
ENSG00000228804	100131635	Homo sapiens	hCG1645011-like(LOC100131635)\
ENSG00000105072	84167	Homo sapiens	chromosome 19 open reading frame 44(C19orf44)\
ENSG00000144681	6769	Homo sapiens	SH3 and cysteine rich domain(STAC)\
ENSG00000143353	127018	Homo sapiens	lysophospholipase like 1(LYPLAL1)\
ENSG00000204839	642475	Homo sapiens	maestro heat like repeat family member 6(MROH6)\
ENSG00000143355	56956	Homo sapiens	LIM homeobox 9(LHX9)\
ENSG00000034239	79645	Homo sapiens	EF-hand calcium binding domain 1(EFCAB1)\
ENSG00000155324	65983	Homo sapiens	GRAM domain containing 3(GRAMD3)\
ENSG00000131379	84077	Homo sapiens	chromosome 3 open reading frame 20(C3orf20)\
ENSG00000131378	23180	Homo sapiens	raftlin, lipid raft linker 1(RFTN1)\
ENSG00000156650	23522	Homo sapiens	lysine acetyltransferase 6B(KAT6B)\
ENSG00000129055	25847	Homo sapiens	anaphase promoting complex subunit 13(ANAPC13)\
ENSG00000010270	83930	Homo sapiens	STARD3 N-terminal like(STARD3NL)\
ENSG00000131370	9467	Homo sapiens	SH3 domain binding protein 5(SH3BP5)\
ENSG00000131373	26061	Homo sapiens	2-hydroxyacyl-CoA lyase 1(HACL1)\
ENSG00000155329	54819	Homo sapiens	zinc finger CCHC-type containing 10(ZCCHC10)\
ENSG00000131375	23473	Homo sapiens	calpain 7(CAPN7)\
ENSG00000131374	9779	Homo sapiens	TBC1 domain family member 5(TBC1D5)\
ENSG00000157985	116987	Homo sapiens	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1(AGAP1)\
ENSG00000130045	158046	Homo sapiens	nucleoredoxin-like 2(NXNL2)\
ENSG00000010278	928	Homo sapiens	CD9 molecule(CD9)\
ENSG00000144677	10217	Homo sapiens	CTD small phosphatase like(CTDSPL)\
ENSG00000204822	116540	Homo sapiens	mitochondrial ribosomal protein L53(MRPL53)\
ENSG00000106392	56913	Homo sapiens	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1(C1GALT1)\
ENSG00000144671	9389	Homo sapiens	solute carrier family 22 member 14(SLC22A14)\
ENSG00000143340	148753	Homo sapiens	family with sequence similarity 163 member A(FAM163A)\
ENSG00000105063	22870	Homo sapiens	protein phosphatase 6 regulatory subunit 1(PPP6R1)\
ENSG00000143341	83872	Homo sapiens	hemicentin 1(HMCN1)\
ENSG00000106397	8985	Homo sapiens	procollagen-lysine,2-oxoglutarate 5-dioxygenase 3(PLOD3)\
ENSG00000144674	2803	Homo sapiens	golgin A4(GOLGA4)\
ENSG00000072506	3028	Homo sapiens	hydroxysteroid 17-beta dehydrogenase 10(HSD17B10)\
ENSG00000106399	6119	Homo sapiens	replication protein A3(RPA3)\
ENSG00000143344	23179	Homo sapiens	ral guanine nucleotide dissociation stimulator like 1(RGL1)\
ENSG00000022267	2273	Homo sapiens	four and a half LIM domains 1(FHL1)\
ENSG00000132677	57127	Homo sapiens	Rh family B glycoprotein (gene/pseudogene)(RHBG)\
ENSG00000155313	29761	Homo sapiens	ubiquitin specific peptidase 25(USP25)\
ENSG00000132676	7818	Homo sapiens	death associated protein 3(DAP3)\
ENSG00000157978	26119	Homo sapiens	low density lipoprotein receptor adaptor protein 1(LDLRAP1)\
ENSG00000156642	27020	Homo sapiens	neuroplastin(NPTN)\
ENSG00000132671	6754	Homo sapiens	somatostatin receptor 4(SSTR4)\
ENSG00000132670	5786	Homo sapiens	protein tyrosine phosphatase, receptor type A(PTPRA)\
ENSG00000120699	11340	Homo sapiens	exosome component 8(EXOSC8)\
ENSG00000142002	91039	Homo sapiens	dipeptidyl peptidase 9(DPP9)\
ENSG00000144668	3680	Homo sapiens	integrin subunit alpha 9(ITGA9)\
ENSG00000143337	26092	Homo sapiens	torsin 1A interacting protein 1(TOR1AIP1)\
ENSG00000120697	29880	Homo sapiens	ALG5, dolichyl-phosphate beta-glucosyltransferase(ALG5)\
ENSG00000010282	57467	Homo sapiens	hedgehog acyltransferase-like(HHATL)\
ENSG00000145990	54438	Homo sapiens	glucose-fructose oxidoreductase domain containing 1(GFOD1)\
ENSG00000120690	1997	Homo sapiens	E74 like ETS transcription factor 1(ELF1)\
ENSG00000204815	83538	Homo sapiens	tetratricopeptide repeat domain 25(TTC25)\
ENSG00000120696	84078	Homo sapiens	kelch repeat and BTB domain containing 7(KBTBD7)\
ENSG00000120693	4093	Homo sapiens	SMAD family member 9(SMAD9)\
ENSG00000143333	6004	Homo sapiens	regulator of G-protein signaling 16(RGS16)\
ENSG00000145996	54901	Homo sapiens	CDK5 regulatory subunit associated protein 1 like 1(CDKAL1)\
ENSG00000073803	9175	Homo sapiens	mitogen-activated protein kinase kinase kinase 13(MAP3K13)\
ENSG00000120694	10808	Homo sapiens	heat shock protein family H (Hsp110) member 1(HSPH1)\
ENSG00000129028	56906	Homo sapiens	THAP domain containing 10(THAP10)\
ENSG00000132688	10763	Homo sapiens	nestin(NES)\
ENSG00000022277	51507	Homo sapiens	replication termination factor 2 domain containing 1(RTFDC1)\
ENSG00000010292	9918	Homo sapiens	non-SMC condensin I complex subunit D2(NCAPD2)\
ENSG00000132680	22889	Homo sapiens	KIAA0907(KIAA0907)\
ENSG00000131351	93323	Homo sapiens	HAUS augmin like complex subunit 8(HAUS8)\
ENSG00000156639	60685	Homo sapiens	zinc finger AN1-type containing 3(ZFAND3)\
ENSG00000132681	480	Homo sapiens	ATPase Na+/K+ transporting subunit alpha 4(ATP1A4)\
ENSG00000155307	64092	Homo sapiens	SAM domain, SH3 domain and nuclear localization signals 1(SAMSN1)\
ENSG00000130021	8226	Homo sapiens	pseudouridine 5'-phosphatase(PUDP)\
ENSG00000155304	6782	Homo sapiens	heat shock protein family A (Hsp70) member 13(HSPA13)\
ENSG00000131355	84658	Homo sapiens	adhesion G protein-coupled receptor E3(ADGRE3)\
ENSG00000130023	55780	Homo sapiens	ER membrane associated RNA degradation(ERMARD)\
ENSG00000130024	55274	Homo sapiens	PHD finger protein 10(PHF10)\
ENSG00000143324	9213	Homo sapiens	xenotropic and polytropic retrovirus receptor 1(XPR1)\
ENSG00000117069	81849	Homo sapiens	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5(ST6GALNAC5)\
ENSG00000144655	64651	Homo sapiens	cysteine and serine rich nuclear protein 1(CSRNP1)\
ENSG00000227500	113178	Homo sapiens	secretory carrier membrane protein 4(SCAMP4)\
ENSG00000144659	54977	Homo sapiens	solute carrier family 25 member 38(SLC25A38)\
ENSG00000228836	441521	Homo sapiens	cancer/testis antigen family 45 member A5(CT45A5)\
ENSG00000010295	25900	Homo sapiens	intermediate filament family orphan 1(IFFO1)\
ENSG00000227507	4050	Homo sapiens	lymphotoxin beta(LTB)\
ENSG00000105085	9441	Homo sapiens	mediator complex subunit 26(MED26)\
ENSG00000143320	1382	Homo sapiens	cellular retinoic acid binding protein 2(CRABP2)\
ENSG00000143321	3068	Homo sapiens	hepatoma-derived growth factor(HDGF)\
ENSG00000145982	10667	Homo sapiens	phenylalanyl-tRNA synthetase 2, mitochondrial(FARS2)\
ENSG00000105088	93145	Homo sapiens	olfactomedin 2(OLFM2)\
ENSG00000143322	27	Homo sapiens	ABL proto-oncogene 2, non-receptor tyrosine kinase(ABL2)\
ENSG00000129038	4016	Homo sapiens	lysyl oxidase like 1(LOXL1)\
ENSG00000129003	54832	Homo sapiens	vacuolar protein sorting 13 homolog C(VPS13C)\
ENSG00000157954	26100	Homo sapiens	WD repeat domain, phosphoinositide interacting 2(WIPI2)\
ENSG00000106367	1174	Homo sapiens	adaptor related protein complex 1 sigma 1 subunit(AP1S1)\
ENSG00000131323	7187	Homo sapiens	TNF receptor associated factor 3(TRAF3)\
ENSG00000133985	23508	Homo sapiens	tetratricopeptide repeat domain 9(TTC9)\
ENSG00000119681	4053	Homo sapiens	latent transforming growth factor beta binding protein 2(LTBP2)\
ENSG00000133980	55237	Homo sapiens	vertebrae development associated(VRTN)\
ENSG00000119682	9870	Homo sapiens	apoptosis resistant E3 ubiquitin protein ligase 1(AREL1)\
ENSG00000215529	388795	Homo sapiens	EF-hand calcium binding domain 8(EFCAB8)\
ENSG00000133983	51241	Homo sapiens	COX16, cytochrome c oxidase assembly homolog(COX16)\
ENSG00000119684	27030	Homo sapiens	mutL homolog 3(MLH3)\
ENSG00000119685	23093	Homo sapiens	tubulin tyrosine ligase like 5(TTLL5)\
ENSG00000117016	9783	Homo sapiens	regulating synaptic membrane exocytosis 3(RIMS3)\
ENSG00000119686	55640	Homo sapiens	feline leukemia virus subgroup C cellular receptor family member 2(FLVCR2)\
ENSG00000060558	2769	Homo sapiens	G protein subunit alpha 15(GNA15)\
ENSG00000119688	5826	Homo sapiens	ATP binding cassette subfamily D member 4(ABCD4)\
ENSG00000144644	339896	Homo sapiens	glutamate decarboxylase like 1(GADL1)\
ENSG00000060566	84699	Homo sapiens	cAMP responsive element binding protein 3 like 3(CREB3L3)\
ENSG00000119689	1743	Homo sapiens	dihydrolipoamide S-succinyltransferase(DLST)\
ENSG00000117013	9132	Homo sapiens	potassium voltage-gated channel subfamily Q member 4(KCNQ4)\
ENSG00000143314	79590	Homo sapiens	mitochondrial ribosomal protein L24(MRPL24)\
ENSG00000144645	114884	Homo sapiens	oxysterol binding protein like 10(OSBPL10)\
ENSG00000145975	222826	Homo sapiens	family with sequence similarity 217 member A(FAM217A)\
ENSG00000143315	93183	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class M(PIGM)\
ENSG00000120675	29103	Homo sapiens	DnaJ heat shock protein family (Hsp40) member C15(DNAJC15)\
ENSG00000144647	84892	Homo sapiens	protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)(POMGNT2)\
ENSG00000144648	1238	Homo sapiens	atypical chemokine receptor 2(ACKR2)\
ENSG00000059573	5832	Homo sapiens	aldehyde dehydrogenase 18 family member A1(ALDH18A1)\
ENSG00000204873	83900	Homo sapiens	keratin associated protein 9-3(KRTAP9-3)\
ENSG00000117010	127396	Homo sapiens	zinc finger protein 684(ZNF684)\
ENSG00000143318	844	Homo sapiens	calsequestrin 1(CASQ1)\
ENSG00000144649	729085	Homo sapiens	family with sequence similarity 198 member A(FAM198A)\
ENSG00000145979	107080638	Homo sapiens	TBC1D7-LOC100130357 readthrough(TBC1D7-LOC100130357)\
ENSG00000143319	81875	Homo sapiens	interferon stimulated exonuclease gene 20 like 2(ISG20L2)\
ENSG00000129009	3671	Homo sapiens	immunoglobulin superfamily containing leucine rich repeat(ISLR)\
ENSG00000071205	79658	Homo sapiens	Rho GTPase activating protein 10(ARHGAP10)\
ENSG00000129007	91860	Homo sapiens	calmodulin like 4(CALML4)\
ENSG00000106366	5054	Homo sapiens	serpin family E member 1(SERPINE1)\
ENSG00000144642	27303	Homo sapiens	RNA binding motif single stranded interacting protein 3(RBMS3)\
ENSG00000130005	2593	Homo sapiens	guanidinoacetate N-methyltransferase(GAMT)\
ENSG00000047579	84062	Homo sapiens	dystrobrevin binding protein 1(DTNBP1)\
ENSG00000133997	10001	Homo sapiens	mediator complex subunit 6(MED6)\
ENSG00000047578	23247	Homo sapiens	KIAA0556(KIAA0556)\
ENSG00000132669	54453	Homo sapiens	Ras and Rab interactor 2(RIN2)\
ENSG00000117009	8564	Homo sapiens	kynurenine 3-monooxygenase(KMO)\
ENSG00000118363	9789	Homo sapiens	signal peptidase complex subunit 2(SPCS2)\
ENSG00000132661	29107	Homo sapiens	nuclear transport factor 2 like export factor 1(NXT1)\
ENSG00000132664	10621	Homo sapiens	RNA polymerase III subunit F(POLR3F)\
ENSG00000119698	57718	Homo sapiens	protein phosphatase 4 regulatory subunit 4(PPP4R4)\
ENSG00000059588	6894	Homo sapiens	TAR (HIV-1) RNA binding protein 1(TARBP1)\
ENSG00000119699	7043	Homo sapiens	transforming growth factor beta 3(TGFB3)\
ENSG00000120688	11193	Homo sapiens	WW domain binding protein 4(WBP4)\
ENSG00000204866	147920	Homo sapiens	IGF like family member 2(IGFL2)\
